,$\mathcal{HU}_p$,investment,tick
62,0.0018381855913119497,0.51,62
63,0.0018749493295420483,0.51,63
64,0.0019124482938386973,0.51,64
65,0.00195069730144639,0.51,65
66,0.0019897112253946868,0.51,66
67,0.0020295054682672588,0.51,67
68,0.0020700955794384175,0.51,68
69,0.002111497479822328,0.51,69
70,0.0021537274221462037,0.51,70
71,0.0021968019179871147,0.51,71
72,0.002240737953495932,0.51,72
73,0.0022855527647685863,0.51,73
74,0.0023312637749934167,0.51,74
75,0.0023778890337254914,0.51,75
76,0.0024254468296022163,0.51,76
77,0.002473955795352102,0.51,77
78,0.002523434937293958,0.51,78
79,0.00257390364114622,0.51,79
80,0.002625381664892478,0.51,80
81,0.002677889289686323,0.51,81
82,0.002731447107460909,0.51,82
83,0.0027860759880617737,0.51,83
84,0.002841797519368364,0.51,84
85,0.002898633528323741,0.51,85
86,0.002956606163648801,0.51,86
87,0.0030157382916579695,0.51,87
88,0.0030760530956066806,0.51,88
89,0.003137574114022312,0.51,89
90,0.0032003256567279255,0.51,90
91,0.003264332159614816,0.51,91
92,0.003329618739517426,0.51,92
93,0.0033962111359643822,0.51,93
94,0.003464135385456409,0.51,94
95,0.0035334181039731716,0.51,95
96,0.0036040864824202377,0.51,96
97,0.0036761681038051546,0.51,97
98,0.003749691456991437,0.51,98
99,0.00382468535056208,0.51,99
100,0.0039011790635964678,0.51,100
101,0.003979202576273775,0.51,101
102,0.004058786690745634,0.51,102
103,0.004139962417743949,0.51,103
104,0.00422276168790795,0.51,104
105,0.004307216865293059,0.51,105
106,0.0043933611726273475,0.51,106
107,0.004481228375502294,0.51,107
108,0.004570853059054284,0.51,108
109,0.004662270033382928,0.51,109
110,0.004755515363168467,0.51,110
111,0.004850625679321231,0.51,111
112,0.004947638355361973,0.51,112
113,0.005046591084042017,0.51,113
114,0.005147522849181814,0.51,114
115,0.005250473253226781,0.51,115
116,0.00535548266316676,0.51,116
117,0.005462592365541161,0.51,117
118,0.005571844098202512,0.51,118
119,0.0056832809712189895,0.51,119
120,0.005796946801902337,0.51,120
121,0.005912885494799877,0.51,121
122,0.006031143396172977,0.51,122
123,0.006151766273815637,0.51,123
124,0.006274801665254854,0.51,124
125,0.00640029765062016,0.51,125
126,0.006528303684133544,0.51,126
127,0.006658869546800067,0.51,127
128,0.006792047153944265,0.51,128
129,0.0069278876562512085,0.51,129
130,0.007066445868420434,0.51,130
131,0.007207774461256541,0.51,131
132,0.007351930057594192,0.51,132
133,0.007498968805092052,0.51,133
134,0.007648948020595971,0.51,134
135,0.0078019269782539005,0.51,135
136,0.007957965519132568,0.51,136
137,0.00811712443719787,0.51,137
138,0.008279467447690848,0.51,138
139,0.008445056854471951,0.51,139
140,0.008613957989094744,0.51,140
141,0.008786237111111789,0.51,141
142,0.008961961772652075,0.51,142
143,0.009141200853080522,0.51,143
144,0.009324025060792678,0.51,144
145,0.009510505289606242,0.51,145
146,0.009700715459600506,0.51,146
147,0.009894729826294536,0.51,147
148,0.010092624226808677,0.51,148
149,0.010294477091160117,0.51,149
150,0.010500366401186106,0.51,150
151,0.010710373808387767,0.51,151
152,0.010924581175498455,0.51,152
153,0.011143072786062212,0.51,153
154,0.011365934225638806,0.51,154
155,0.011593252535295896,0.51,155
156,0.011825118207673829,0.51,156
157,0.012061620639629688,0.51,157
158,0.012302852228563133,0.51,158
159,0.01254890928966399,0.51,159
160,0.012799887540297402,0.51,160
161,0.013055885911383834,0.51,161
162,0.013317003424067124,0.51,162
163,0.013583343503105685,0.51,163
164,0.013855010340486437,0.51,164
165,0.014132110463177675,0.51,165
166,0.014414752916521782,0.51,166
167,0.014703047407955203,0.51,167
168,0.014997108246380954,0.51,168
169,0.015297049977557731,0.51,169
170,0.015602990921139943,0.51,170
171,0.015915051848228595,0.51,171
172,0.016233353033140895,0.51,172
173,0.01655801916480948,0.51,173
174,0.016889179781266386,0.51,174
175,0.01722696358191657,0.51,175
176,0.01757150250999515,0.51,176
177,0.017922931752678187,0.51,177
178,0.01828139019179401,0.51,178
179,0.018647018388364002,0.51,179
180,0.019019960273873787,0.51,180
181,0.0194003573118007,0.51,181
182,0.01978836537309234,0.51,182
183,0.020184133810225695,0.51,183
184,0.020587816384209277,0.51,184
185,0.020999572857041397,0.51,185
186,0.021419564303290655,0.51,186
187,0.02184795509784025,0.51,187
188,0.022284914816933017,0.51,188
189,0.02273061159979776,0.51,189
190,0.023185221999200832,0.51,190
191,0.023648928350730042,0.51,191
192,0.024121907643698762,0.51,192
193,0.02460434605927165,0.51,193
194,0.02509643205854186,0.51,194
195,0.02559835988852891,0.51,195
196,0.02611032707557287,0.51,196
197,0.026632533865092664,0.51,197
198,0.027165185863841344,0.51,198
199,0.027708489417834117,0.51,199
200,0.02826265840937603,0.51,200
201,0.028827911216727314,0.51,201
202,0.02940446652729015,0.51,202
203,0.029992558863410585,0.51,203
204,0.03059240827509718,0.51,204
205,0.031204257437137856,0.51,205
206,0.031828342219927266,0.51,206
207,0.03246490878250455,0.51,207
208,0.03311420570902797,0.51,208
209,0.03377649115423245,0.51,209
210,0.03445202289578065,0.51,210
211,0.03514105945783717,0.51,211
212,0.03584388067917473,0.51,212
213,0.03656076222171362,0.51,213
214,0.03729197007639501,0.51,214
215,0.03803781417787964,0.51,215
216,0.03879856861091232,0.51,216
217,0.03957454033238996,0.51,217
218,0.04036602940610705,0.51,218
219,0.04117335199116887,0.51,219
220,0.04199681829266418,0.51,220
221,0.04283675680728621,0.51,221
222,0.04369348428985451,0.51,222
223,0.04456735930671513,0.51,223
224,0.04545870235594714,0.51,224
225,0.046367875143073035,0.51,225
226,0.0472952329155712,0.51,226
227,0.048241136363589024,0.51,227
228,0.04920597036706978,0.51,228
229,0.0501900794175708,0.51,229
230,0.05119388500297096,0.51,230
231,0.052217767749440494,0.51,231
232,0.0532621155243273,0.51,232
233,0.054327361147046865,0.51,233
234,0.05541390998232387,0.51,234
235,0.056522187494021686,0.51,235
236,0.05765262871293038,0.51,236
237,0.058805668030399307,0.51,237
238,0.05998179940541982,0.51,238
239,0.06118142664900171,0.51,239
240,0.062405053024964505,0.51,240
241,0.06365314542884551,0.51,241
242,0.06492621937765475,0.51,242
243,0.06622475504927275,0.51,243
244,0.06754924327308666,0.51,244
