,iteration,metric,value
228,11400,mse,2.6862923019570806
229,11400,$\mathcal{HU}_p$,-0.9748535752296448
230,11500,mse,2.6862027978240537
231,11500,$\mathcal{HU}_p$,-0.975784420967102
232,11600,mse,2.6860956531470728
233,11600,$\mathcal{HU}_p$,-0.975084662437439
234,11700,mse,2.6861209610589025
235,11700,$\mathcal{HU}_p$,-0.9718990921974182
236,11800,mse,2.6858974641985967
237,11800,$\mathcal{HU}_p$,-0.9752854704856873
238,11900,mse,2.6858797852277734
239,11900,$\mathcal{HU}_p$,-0.9763518571853638
240,12000,mse,2.6856976838823714
241,12000,$\mathcal{HU}_p$,-0.975529670715332
242,12100,mse,2.6873315447304313
243,12100,$\mathcal{HU}_p$,-0.9842858910560608
244,12200,mse,2.685496776249763
245,12200,$\mathcal{HU}_p$,-0.9757971167564392
246,12300,mse,2.6855761959646065
247,12300,$\mathcal{HU}_p$,-0.9728167057037354
248,12400,mse,2.6852962957120696
249,12400,$\mathcal{HU}_p$,-0.9758527278900146
250,12500,mse,2.6851946761145524
251,12500,$\mathcal{HU}_p$,-0.9760815501213074
252,12600,mse,2.685115482295687
253,12600,$\mathcal{HU}_p$,-0.9770626425743103
254,12700,mse,2.684994524074489
255,12700,$\mathcal{HU}_p$,-0.9762739539146423
256,12800,mse,2.6848911671924895
257,12800,$\mathcal{HU}_p$,-0.9762671589851379
258,12900,mse,2.6847901901708147
259,12900,$\mathcal{HU}_p$,-0.9766364693641663
260,13000,mse,2.684694852341803
261,13000,$\mathcal{HU}_p$,-0.977313220500946
262,13100,mse,2.684582782637322
263,13100,$\mathcal{HU}_p$,-0.9765845537185669
264,13200,mse,2.684928837089869
265,13200,$\mathcal{HU}_p$,-0.9703313112258911
266,13300,mse,2.6843751073359643
267,13300,$\mathcal{HU}_p$,-0.9768410325050354
268,13400,mse,2.684340892016476
269,13400,$\mathcal{HU}_p$,-0.9768636226654053
270,13500,mse,2.68416636829609
271,13500,$\mathcal{HU}_p$,-0.9770668745040894
272,13600,mse,2.6865833496419853
273,13600,$\mathcal{HU}_p$,-0.9877892732620239
274,13700,mse,2.6839569407254973
275,13700,$\mathcal{HU}_p$,-0.9772098660469055
276,13800,mse,2.683849807351586
277,13800,$\mathcal{HU}_p$,-0.9772496223449707
278,13900,mse,2.6837468902933876
279,13900,$\mathcal{HU}_p$,-0.9776005148887634
280,14000,mse,2.6836396626639876
281,14000,$\mathcal{HU}_p$,-0.97758549451828
282,14100,mse,2.6835419541792396
283,14100,$\mathcal{HU}_p$,-0.9768383502960205
284,14200,mse,2.6834257940484383
285,14200,$\mathcal{HU}_p$,-0.9777761697769165
286,14300,mse,2.6833188538017145
287,14300,$\mathcal{HU}_p$,-0.9778512120246887
288,14400,mse,2.6832102516299527
289,14400,$\mathcal{HU}_p$,-0.9780023097991943
290,14500,mse,2.6831056142323284
291,14500,$\mathcal{HU}_p$,-0.9784792065620422
292,14600,mse,2.682995153552028
293,14600,$\mathcal{HU}_p$,-0.9781929850578308
294,14700,mse,2.68289079593292
295,14700,$\mathcal{HU}_p$,-0.9778003096580505
296,14800,mse,2.682777657566038
297,14800,$\mathcal{HU}_p$,-0.978383481502533
298,14900,mse,2.68272357167672
299,14900,$\mathcal{HU}_p$,-0.9804647564888
300,15000,mse,2.6825570956750893
301,15000,$\mathcal{HU}_p$,-0.9786187410354614
302,15100,mse,2.6824517163861685
303,15100,$\mathcal{HU}_p$,-0.9782635569572449
304,15200,mse,2.682334413981459
305,15200,$\mathcal{HU}_p$,-0.9787814021110535
306,15300,mse,2.6822247563612294
307,15300,$\mathcal{HU}_p$,-0.9789395928382874
308,15400,mse,2.6821126142915475
309,15400,$\mathcal{HU}_p$,-0.9790002703666687
310,15500,mse,2.6820157928588264
311,15500,$\mathcal{HU}_p$,-0.9801056981086731
312,15600,mse,2.6818897470820096
313,15600,$\mathcal{HU}_p$,-0.9791769981384277
314,15700,mse,2.6819168195650147
315,15700,$\mathcal{HU}_p$,-0.9764426350593567
316,15800,mse,2.681663665452654
317,15800,$\mathcal{HU}_p$,-0.9794028997421265
318,15900,mse,2.681853166052061
319,15900,$\mathcal{HU}_p$,-0.97440505027771
320,16000,mse,2.6814357813717606
321,16000,$\mathcal{HU}_p$,-0.9795821309089661
322,16100,mse,2.681940869773956
323,16100,$\mathcal{HU}_p$,-0.9747629761695862
324,16200,mse,2.681206247828791
325,16200,$\mathcal{HU}_p$,-0.9797482490539551
326,16300,mse,2.681878024469539
327,16300,$\mathcal{HU}_p$,-0.9698630571365356
328,16400,mse,2.6809750525747473
329,16400,$\mathcal{HU}_p$,-0.9800003170967102
330,16500,mse,2.68088671764625
331,16500,$\mathcal{HU}_p$,-0.9813700318336487
332,16600,mse,2.680741680633139
333,16600,$\mathcal{HU}_p$,-0.9800809621810913
334,16700,mse,2.680658391657616
335,16700,$\mathcal{HU}_p$,-0.978941798210144
336,16800,mse,2.6805053719592995
337,16800,$\mathcal{HU}_p$,-0.9802875518798828
338,16900,mse,2.6811017554888843
339,16900,$\mathcal{HU}_p$,-0.9863278269767761
340,17000,mse,2.6802687407424637
341,17000,$\mathcal{HU}_p$,-0.9805914163589478
342,17100,mse,2.6801479160746693
343,17100,$\mathcal{HU}_p$,-0.9807429313659668
344,17200,mse,2.6800391404032493
345,17200,$\mathcal{HU}_p$,-0.9816339612007141
346,17300,mse,2.67991088506669
347,17300,$\mathcal{HU}_p$,-0.9809273481369019
348,17400,mse,2.680087830754953
349,17400,$\mathcal{HU}_p$,-0.9778114557266235
350,17500,mse,2.679668208094507
351,17500,$\mathcal{HU}_p$,-0.9811132550239563
352,17600,mse,2.6813837818977104
353,17600,$\mathcal{HU}_p$,-0.9867438077926636
354,17700,mse,2.6794243867967262
355,17700,$\mathcal{HU}_p$,-0.9814229011535645
356,17800,mse,2.6792998543680193
357,17800,$\mathcal{HU}_p$,-0.9817283153533936
358,17900,mse,2.6791771133923947
359,17900,$\mathcal{HU}_p$,-0.9813374876976013
360,18000,mse,2.6791022555552977
361,18000,$\mathcal{HU}_p$,-0.9800415635108948
362,18100,mse,2.678926935983584
363,18100,$\mathcal{HU}_p$,-0.9817911386489868
364,18200,mse,2.6788022036828045
365,18200,$\mathcal{HU}_p$,-0.9815025329589844
366,18300,mse,2.6786751202921493
367,18300,$\mathcal{HU}_p$,-0.9818781018257141
368,18400,mse,2.678554301138712
369,18400,$\mathcal{HU}_p$,-0.9828336834907532
370,18500,mse,2.6784202396360044
371,18500,$\mathcal{HU}_p$,-0.9823967218399048
372,18600,mse,2.679177266771807
373,18600,$\mathcal{HU}_p$,-0.9752157926559448
374,18700,mse,2.678161896941652
375,18700,$\mathcal{HU}_p$,-0.9824962019920349
376,18800,mse,2.678468837118303
377,18800,$\mathcal{HU}_p$,-0.9742823839187622
378,18900,mse,2.677904140967152
379,18900,$\mathcal{HU}_p$,-0.9825951457023621
380,19000,mse,2.677771249751816
381,19000,$\mathcal{HU}_p$,-0.9828115105628967
382,19100,mse,2.6776434744765942
383,19100,$\mathcal{HU}_p$,-0.982582688331604
384,19200,mse,2.677512001733823
385,19200,$\mathcal{HU}_p$,-0.9830291867256165
386,19300,mse,2.6776071750492814
387,19300,$\mathcal{HU}_p$,-0.980338990688324
388,19400,mse,2.6772468227262634
389,19400,$\mathcal{HU}_p$,-0.9832214713096619
390,19500,mse,2.6783901817390214
391,19500,$\mathcal{HU}_p$,-0.9699673652648926
392,19600,mse,2.6769803980003974
393,19600,$\mathcal{HU}_p$,-0.9834599494934082
394,19700,mse,2.6768436532234574
395,19700,$\mathcal{HU}_p$,-0.9836307764053345
396,19800,mse,2.676713669527168
397,19800,$\mathcal{HU}_p$,-0.983321487903595
398,19900,mse,2.676571343580797
399,19900,$\mathcal{HU}_p$,-0.9838594198226929
400,20000,mse,2.6764342947010222
401,20000,$\mathcal{HU}_p$,-0.9835005402565002
402,20100,mse,2.6762940921969345
403,20100,$\mathcal{HU}_p$,-0.9840748906135559
404,20200,mse,2.676163283066793
405,20200,$\mathcal{HU}_p$,-0.9848996996879578
406,20300,mse,2.6760143779299104
407,20300,$\mathcal{HU}_p$,-0.9843253493309021
408,20400,mse,2.675875852403535
409,20400,$\mathcal{HU}_p$,-0.9843486547470093
410,20500,mse,2.675734374439616
411,20500,$\mathcal{HU}_p$,-0.9845675826072693
412,20600,mse,2.6757618002295205
413,20600,$\mathcal{HU}_p$,-0.9822077751159668
414,20700,mse,2.6754514612479112
415,20700,$\mathcal{HU}_p$,-0.984805703163147
416,20800,mse,2.6773633631769673
417,20800,$\mathcal{HU}_p$,-0.9738505482673645
418,20900,mse,2.6751632475081717
419,20900,$\mathcal{HU}_p$,-0.9850890636444092
420,21000,mse,2.6750167213311067
421,21000,$\mathcal{HU}_p$,-0.9855859279632568
422,21100,mse,2.674871843725526
